lemma,poscode,surface
aaltonen,3
aarao,3
aarestrup,3
aaronovich,3
ab,3
ababacar,3
abacuque,3
abad,3
abade,3
abadessa,3
abadi,3
abadia,3
abadie,3
abadier,3
abadino,3
abadio,3
abado,3
abagaro,3
abage,3
abagge,3
abaid,3
abaide,3
abal,3
abalen,3
aballo,3
abani,3
abans,3
abanto,3
abarca,3
abarrasin,3
abarza,3
abas,3
abasto,3
abate,3
abath,3
abati,3
abatti,3
abau,3
abaunza,3
abaurre,3
abbad,3
abbade,3
abbadia,3
abbas,3
abbate,3
abbatepaulo,3
abbehusen,3
abbema,3
abbes,3
abbi,3
abbiati,3
abbonizio,3
abbott,3
abboud,3
abbud,3
abd,3
abdala,3
abdalad,3
abdalah,3
abdall,3
abdalla,3
abdallah,3
abdanur,3
abdao,3
abdel,3
abdelaziz,3
abdelhay,3
abdelmur,3
abdelnoor,3
abdelnor,3
abdelnour,3
abdelnur,3
abdelouahab,3
abdemun,3
abdenur,3
abder,3
abdias,3
abdiel,3
abdo,3
abdon,3
abdou,3
abdoulmessih,3
abdouni,3
abdu,3
abduch,3
abduche,3
abdue,3
abdul,3
abdulmassih,3
abe,3
abecassis,3
abech,3
abeche,3
abed,3
abegao,3
abegg,3
abeid,3
abeki,3
abel,3
abela,3
abelange,3
abelardino,3
abelardo,3
abeledo,3
abeleira,3
abelem,3
abelha,3
abelheira,3
abelin,3
abella,3
abellas,3
abelleira,3
abelson,3
aben,3
abenassiff,3
abenildo,3
abenor,3
abensour,3
abensur,3
abentroth,3
aberides,3
aberlane,3
abero,3
abers,3
abes,3
abezgauz,3
abgail,3
abgussen,3
abhoodi,3
abi,3
abiahy,3
abiar,3
abias,3
abib,3
abibe,3
abicalil,3
abich,3
abichequer,3
abicht,3
abidala,3
abidias,3
abidimar,3
abido,3
abidon,3
abidoral,3
abidu,3
abifaical,3
abigail,3
abigalil,3
abijaodi,3
abijaudi,3
abil,3
abila,3
abili,3
abilio,3
abimael,3
abimussi,3
abinader,3
abinea,3
abintes,3
abio,3
abiola,3
abiorana,3
abip,3
abirached,3
abirachid,3
abiraude,3
abitam,3
abitante,3
abitbol,3
abiuzi,3
abizethe,3
abjaudi,3
abla,3
ablas,3
able,3
abmael,3
abnel,3
abnelio,3
abner,3
abnner,3
aboboreira,3
aboim,3
abolafio,3
abolis,3
abomorad,3
abon,3
abonizio,3
abou,3
aboud,3
aboujaoude,3
aboy,3
abra,3
abraa,3
abraam,3
abraao,3
abracado,3
abracos,3
abraham,3
abrahami,3
abrahamian,3
abrahao,3
abrahem,3
abrahim,3
abrahin,3
abraira,3
abram,3
abramczyk,3
abramides,3
abramo,3
abramof,3
abramoski,3
abramov,3
abramovici,3
abramovictz,3
abramovitch,3
abramovith,3
abramowicz,3
abrams,3
abramson,3
abranches,3
abranham,3
abrante,3
abrantes,3
abrao,3
abras,3
abrate,3
abraucy,3
abre,3
abrego,3
abrenhosa,3
abreu,3
abrianos,3
abril,3
abrita,3
abritta,3
abronhero,3
abrunheiro,3
abrunhosa,3
abruzzo,3
abs,3
absair,3
absalao,3
absi,3
absolon,3
abss,3
abtibol,3
abu,3
abucater,3
abucha,3
abuchahin,3
abuchaim,3
abuchain,3
abuche,3
abud,3
abudd,3
abudes,3
abugeber,3
abuim,3
abuiyada,3
abujamra,3
abumanssur,3
abunader,3
abunahman,3
aburachid,3
aburuza,3
abutakka,3
abutrab,3
abutrabe,3
abutuwe,3
abuzaglo,3
aby,3
aca,3
acaci,3
acacia,3
acacio,3
acaiaba,3
acampora,3
acar,3
acarahyba,3
acarileia,3
acarine,3
acasio,3
acassia,3
acassio,3
acastro,3
acatauassu,3
acauan,3
acaui,3
acaz,3
accacio,3
accadrolli,3
accampora,3
accardi,3
accarini,3
accarino,3
accattini,3
accetta,3
accetti,3
acchar,3
acchile,3
acchini,3
acciari,3
acciaris,3
acciarri,3
accioli,3
accioly,3
acco,3
accolini,3
accordi,3
accorsi,3
accosta,3
accyole,3
acebal,3
acedo,3
acega,3
acelina,3
acelino,3
acelio,3
acelo,3
acemira,3
acerbi,3
acero,3
aceti,3
acevedo,3
acha,3
achan,3
achao,3
achar,3
achcar,3
ache,3
achegaua,3
achel,3
acherman,3
achi,3
achic,3
achilles,3
achillys,3
aching,3
achkar,3
achon,3
achterberg,3
achtschin,3
achutti,3
achy,3
aci,3
acialdi,3
aciari,3
acildo,3
acilino,3
acilon,3
acimo,3
aciole,3
acioles,3
acioli,3
aciolly,3
acioly,3
acipreste,3
acir,3
aciso,3
acivaldo,3
acker,3
ackermann,3
acl,3
aclandes,3
acleude,3
acli,3
aclidezio,3
aconsoerde,3
acordi,3
acorsi,3
acosta,3
acotirene,3
acqua,3
acquaviva,3
acquilino,3
acrane,3
acrani,3
acras,3
acri,3
acrisio,3
acselrad,3
