name	continent	iso_country	iso_region	municipality	iata_code
Falls International Airport	NA	US	US-MN	International Falls	INL
Creech Air Force Base	NA	US	US-NV	Indian Springs	INS
Smith Reynolds Airport	NA	US	US-NC	Winston Salem	INT
Winslow Lindbergh Regional Airport	NA	US	US-AZ	Winslow	INW
Iowa City Municipal Airport	NA	US	US-IA	Iowa City	IOW
Imperial County Airport	NA	US	US-CA	Imperial	IPL
Williamsport Regional Airport	NA	US	US-PA	Williamsport	IPT
Kira Airport	OC	PG	PG-NPP	Kira	KIQ
Kirksville Regional Airport	NA	US	US-MO	Kirksville	IRK
Kirsch Municipal Airport	NA	US	US-MI	Sturgis	IRS
Kissimmee Gateway Airport	NA	US	US-FL	Orlando	ISM
Sloulin Field International Airport	NA	US	US-ND	Williston	ISN
Kinston Regional Jetport At Stallings Field	NA	US	US-NC	Kinston	ISO
Long Island Mac Arthur Airport	NA	US	US-NY	Islip	ISP
Schoolcraft County Airport	NA	US	US-MI	Manistique	ISQ
Alexander Field South Wood County Airport	NA	US	US-WI	Wisconsin Rapids	ISW
Ithaca Tompkins Regional Airport	NA	US	US-NY	Ithaca	ITH
Phoenix-Mesa-Gateway Airport	NA	US	US-AZ	Phoenix	AZA
Gogebic Iron County Airport	NA	US	US-MI	Ironwood	IWD
Wiscasset Airport	NA	US	US-ME	Wiscasset	ISS
West Houston Airport	NA	US	US-TX	Houston	IWS
New Century Aircenter Airport	NA	US	US-KS	Olathe	JCI
Inyokern Airport	NA	US	US-CA	Inyokern	IYK
Santa Ynez Airport	NA	US	US-CA	Santa Ynez	SQA
Eastern Slopes Regional Airport	NA	US	US-ME	Fryeburg	FRY
Jackson Hole Airport	NA	US	US-WY	Jackson	JAC
Jackson-Medgar Wiley Evers International Airport	NA	US	US-MS	Jackson	JAN
Jasper County Airport-Bell Field	NA	US	US-TX	Jasper	JAS
Jacksonville International Airport	NA	US	US-FL	Jacksonville	JAX
Jonesboro Municipal Airport	NA	US	US-AR	Jonesboro	JBR
Kimble County Airport	NA	US	US-TX	Junction	JCT
Jordan Airport	NA	US	US-MT	Jordan	JDN
Jefferson City Memorial Airport	NA	US	US-MO	Jefferson City	JEF
John F Kennedy International Airport	NA	US	US-NY	New York	JFK
Chautauqua County-Jamestown Airport	NA	US	US-NY	Jamestown	JHW
Jack Edwards Airport	NA	US	US-AL	Gulf Shores	GUF
Joplin Regional Airport	NA	US	US-MO	Joplin	JLN
Jamestown Regional Airport	NA	US	US-ND	Jamestown	JMS
Joliet Regional Airport	NA	US	US-IL	Joliet	JOT
Cherokee County Airport	NA	US	US-TX	Jacksonville	JKV
John Murtha Johnstown Cambria County Airport	NA	US	US-PA	Johnstown	JST
Southern Wisconsin Regional Airport	NA	US	US-WI	Janesville	JVL
Jackson County Reynolds Field	NA	US	US-MI	Jackson	JXN
Kitoi Bay Seaplane Base	NA	US	US-AK	Kitoi Bay	KKB
Akiachak Seaplane Base	NA	US	US-AK	Akiachak	KKI
Mesa Del Rey Airport	NA	US	US-CA	King City	KIC
Karluk Lake Seaplane Base	NA	US	US-AK	Karluk Lake	KKL
Southwest Washington Regional Airport	NA	US	US-WA	Kelso	KLS
Ekuk Airport	NA	US	US-AK	Ekuk	KKU
Borrego Valley Airport	NA	US	US-CA	Borrego Springs	BXS
Big Bear City Airport	NA	US	US-CA	Big Bear	RBF
Lamar Municipal Airport	NA	US	US-CO	Lamar	LAA
Purdue University Airport	NA	US	US-IN	Lafayette	LAF
Lakeland Linder Regional Airport	NA	US	US-FL	Lakeland	LAL
Los Alamos Airport	NA	US	US-NM	Los Alamos	LAM
Capital City Airport	NA	US	US-MI	Lansing	LAN
Laramie Regional Airport	NA	US	US-WY	Laramie	LAR
McCarran International Airport	NA	US	US-NV	Las Vegas	LAS
Lawton Fort Sill Regional Airport	NA	US	US-OK	Lawton	LAW
Los Angeles International Airport	NA	US	US-CA	Los Angeles	LAX
Lubbock Preston Smith International Airport	NA	US	US-TX	Lubbock	LBB
Arnold Palmer Regional Airport	NA	US	US-PA	Latrobe	LBE
North Platte Regional Airport Lee Bird Field	NA	US	US-NE	North Platte	LBF
Liberal Mid-America Regional Airport	NA	US	US-KS	Liberal	LBL
Lumberton Regional Airport	NA	US	US-NC	Lumberton	LBT
Texas Gulf Coast Regional Airport	NA	US	US-TX	Angleton/Lake Jackson	LJN
Lake Charles Regional Airport	NA	US	US-LA	Lake Charles	LCH
Laconia Municipal Airport	NA	US	US-NH	Laconia	LCI
Rickenbacker International Airport	NA	US	US-OH	Columbus	LCK
Lake City Gateway Airport	NA	US	US-FL	Lake City	LCQ
Linden Airport	NA	US	US-NJ	Linden	LDJ
Mason County Airport	NA	US	US-MI	Ludington	LDM
Lebanon Municipal Airport	NA	US	US-NH	Lebanon	LEB
Leesburg International Airport	NA	US	US-FL	Leesburg	LEE
Lemmon Municipal Airport	NA	US	US-SD	Lemmon	LEM
Auburn Lewiston Municipal Airport	NA	US	US-ME	Auburn/Lewiston	LEW
Blue Grass Airport	NA	US	US-KY	Lexington	LEX
Langley Air Force Base	NA	US	US-VA	Hampton	LFI
Angelina County Airport	NA	US	US-TX	Lufkin	LFK
Lafayette Regional Airport	NA	US	US-LA	Lafayette	LFT
La Guardia Airport	NA	US	US-NY	New York	LGA
Long Beach /Daugherty Field/ Airport	NA	US	US-CA	Long Beach	LGB
Lagrange Callaway Airport	NA	US	US-GA	Lagrange	LGC
La Grande/Union County Airport	NA	US	US-OR	La Grande	LGD
Laguna Army Airfield	NA	US	US-AZ	Yuma Proving Ground(Yuma)	LGF
Logan-Cache Airport	NA	US	US-UT	Logan	LGU
William T. Piper Memorial Airport	NA	US	US-PA	Lock Haven	LHV
Wright Aaf (Fort Stewart)/Midcoast Regional Airport	NA	US	US-GA	Fort Stewart(Hinesville)	LIY
Triangle North Executive Airport	NA	US	US-NC	Louisburg	LFN
Limon Municipal Airport	NA	US	US-CO	Limon	LIC
Bill & Hillary Clinton National Airport/Adams Field	NA	US	US-AR	Little Rock	LIT
Lake Placid Airport	NA	US	US-NY	Lake Placid	LKP
Lake County Airport	NA	US	US-OR	Lakeview	LKV
Challis Airport	NA	US	US-ID	Challis	CHL
Louisville Winston County Airport	NA	US	US-MS	Louisville	LMS
Klamath Falls Airport	NA	US	US-OR	Klamath Falls	LMT
Palm Beach County Park Airport	NA	US	US-FL	West Palm Beach	LNA
Hunt Field	NA	US	US-WY	Lander	LND
Lincoln Airport	NA	US	US-NE	Lincoln	LNK
Willoughby Lost Nation Municipal Airport	NA	US	US-OH	Willoughby	LNN
Lonesome Pine Airport	NA	US	US-VA	Wise	LNP
Tri-County Regional Airport	NA	US	US-WI	Lone Rock	LNR
Lancaster Airport	NA	US	US-PA	Lancaster	LNS
LOL	NA	US	US-NV	Lovelock	LOL
Wings Field	NA	US	US-PA	Philadelphia	BBX
Bowman Field	NA	US	US-KY	Louisville	LOU
Laredo International Airport	NA	US	US-TX	Laredo	LRD
Las Cruces International Airport	NA	US	US-NM	Las Cruces	LRU
La Crosse Municipal Airport	NA	US	US-WI	La Crosse	LSE
Altus Air Force Base	NA	US	US-OK	Altus	LTS
Luke Air Force Base	NA	US	US-AZ	Glendale	LUF
Cincinnati Municipal Airport Lunken Field	NA	US	US-OH	Cincinnati	LUK
Hesler Noble Field	NA	US	US-MS	Laurel	LUL
Livermore Municipal Airport	NA	US	US-CA	Livermore	LVK
Lawrenceville Brunswick Municipal Airport	NA	US	US-VA	Lawrenceville	LVL
Mission Field	NA	US	US-MT	Livingston	LVM
Las Vegas Municipal Airport	NA	US	US-NM	Las Vegas	LVS
Greenbrier Valley Airport	NA	US	US-WV	Lewisburg	LWB
Lawrence Municipal Airport	NA	US	US-KS	Lawrence	LWC
Wells Municipal Airport/Harriet Field	NA	US	US-NV	Wells	LWL
Lawrence Municipal Airport	NA	US	US-MA	Lawrence	LWM
Lewiston Nez Perce County Airport	NA	US	US-ID	Lewiston	LWS
Lewistown Municipal Airport	NA	US	US-MT	Lewistown	LWT
Lawrenceville Vincennes International Airport	NA	US	US-IL	Lawrenceville	LWV
Jim Kelly Field	NA	US	US-NE	Lexington	LXN
Lake County Airport	NA	US	US-CO	Leadville	LXV
Lynchburg Regional Preston Glenn Field	NA	US	US-VA	Lynchburg	LYH
Lyons-Rice County Municipal Airport	NA	US	US-KS	Lyons	LYO
Gwinnett County Briscoe Field	NA	US	US-GA	Lawrenceville	LZU
Macon Downtown Airport	NA	US	US-GA	Macon	MAC
Madera Municipal Airport	NA	US	US-CA	Madera	MAE
Midland International Airport	NA	US	US-TX	Midland	MAF
Malden Regional Airport	NA	US	US-MO	Malden	MAW
Koinambe Airport	OC	PG	PG-JI	Konambe	KMB
Manistee Co Blacker Airport	NA	US	US-MI	Manistee	MBL
MBS International Airport	NA	US	US-MI	Saginaw	MBS
Merced Regional Macready Field	NA	US	US-CA	Merced	MCE
Kansas City International Airport	NA	US	US-MO	Kansas City	MCI
Mc Cook Ben Nelson Regional Airport	NA	US	US-NE	Mc Cook	MCK
Middle Georgia Regional Airport	NA	US	US-GA	Macon	MCN
Orlando International Airport	NA	US	US-FL	Orlando	MCO
Mason City Municipal Airport	NA	US	US-IA	Mason City	MCW
Southern Illinois Airport	NA	US	US-IL	Carbondale/Murphysboro	MDH
Madison Municipal Airport	NA	US	US-SD	Madison	XMD
Harrisburg International Airport	NA	US	US-PA	Harrisburg	MDT
Chicago Midway International Airport	NA	US	US-IL	Chicago	MDW
Key Field	NA	US	US-MS	Meridian	MEI
Memphis International Airport	NA	US	US-TN	Memphis	MEM
Kamina Airport	OC	PG	PG-GPK	Hoieti	KMF
Mc Allen Miller International Airport	NA	US	US-TX	Mc Allen	MFE
Rogue Valley International Medford Airport	NA	US	US-OR	Medford	MFR
Montgomery Regional (Dannelly Field) Airport	NA	US	US-AL	Montgomery	MGM
Morgantown Municipal Walter L. Bill Hart Field	NA	US	US-WV	Morgantown	MGW
Manhattan Regional Airport	NA	US	US-KS	Manhattan	MHK
Manchester Airport	NA	US	US-NH	Manchester	MHT
Mojave Airport	NA	US	US-CA	Mojave	MHV
Miami International Airport	NA	US	US-FL	Miami	MIA
Delaware County Johnson Field	NA	US	US-IN	Muncie	MIE
Charles B. Wheeler Downtown Airport	NA	US	US-MO	Kansas City	MKC
General Mitchell International Airport	NA	US	US-WI	Milwaukee	MKE
Muskegon County Airport	NA	US	US-MI	Muskegon	MKG
Mc Kellar Sipes Regional Airport	NA	US	US-TN	Jackson	MKL
Melbourne International Airport	NA	US	US-FL	Melbourne	MLB
Quad City International Airport	NA	US	US-IL	Moline	MLI
Frank Wiley Field	NA	US	US-MT	Miles City	MLS
Monroe Regional Airport	NA	US	US-LA	Monroe	MLU
Mammoth Yosemite Airport	NA	US	US-CA	Mammoth Lakes	MMH
Morristown Municipal Airport	NA	US	US-NJ	Morristown	MMU
Mobile Regional Airport	NA	US	US-AL	Mobile	MOB
Modesto City Co-Harry Sham Field	NA	US	US-CA	Modesto	MOD
Minot International Airport	NA	US	US-ND	Minot	MOT
Mariposa Yosemite Airport	NA	US	US-CA	Mariposa	RMY
Edward F Knapp State Airport	NA	US	US-VT	Barre/Montpelier	MPV
Chester County G O Carlson Airport	NA	US	US-PA	Coatesville	CTH
Monterey Peninsula Airport	NA	US	US-CA	Monterey	MRY
Northwest Alabama Regional Airport	NA	US	US-AL	Muscle Shoals	MSL
Dane County Regional Truax Field	NA	US	US-WI	Madison	MSN
Missoula International Airport	NA	US	US-MT	Missoula	MSO
Minneapolis-St Paul International/Wold-Chamberlain Airport	NA	US	US-MN	Minneapolis	MSP
Massena International Richards Field	NA	US	US-NY	Massena	MSS
Louis Armstrong New Orleans International Airport	NA	US	US-LA	New Orleans	MSY
Montrose Regional Airport	NA	US	US-CO	Montrose	MTJ
Monroe County Airport	NA	US	US-AL	Monroeville	MVC
Morrisville Stowe State Airport	NA	US	US-VT	Morrisville	MVL
Martha's Vineyard Airport	NA	US	US-MA	Martha's Vineyard	MVY
Williamson County Regional Airport	NA	US	US-IL	Marion	MWA
Mineral Wells Airport	NA	US	US-TX	Mineral Wells	MWL
Myrtle Beach International Airport	NA	US	US-SC	Myrtle Beach	MYR
Pinal Airpark	NA	US	US-AZ	Marana	MZJ
Marion Municipal Airport	NA	US	US-IN	Marion	MZZ
New Orleans NAS JRB/Alvin Callender Field	NA	US	US-LA	New Orleans	NBG
Dahlgren Naval Surface Warfare Center Airport	NA	US	US-VA	Dahlgren	DGN
Lakehurst Maxfield Field Airport	NA	US	US-NJ	Lakehurst	NEL
NAS Fort Worth JRB/Carswell Field	NA	US	US-TX	Fort Worth	FWH
Yuma MCAS/Yuma International Airport	NA	US	US-AZ	Yuma	YUM
North Island Naval Air Station-Halsey Field	NA	US	US-CA	San Diego	NZY
Nervino Airport	NA	US	US-CA	Beckwourth	NVN
Columbia Airport	NA	US	US-CA	Columbia	COA
Oakdale Airport	NA	US	US-CA	Oakdale	ODC
Yerington Municipal Airport	NA	US	US-NV	Yerington	EYR
Albert J Ellis Airport	NA	US	US-NC	Jacksonville	OAJ
Metropolitan Oakland International Airport	NA	US	US-CA	Oakland	OAK
Marina Municipal Airport	NA	US	US-CA	Marina	OAR
Okeechobee County Airport	NA	US	US-FL	Okeechobee	OBE
Ogdensburg International Airport	NA	US	US-NY	Ogdensburg	OGS
Will Rogers World Airport	NA	US	US-OK	Oklahoma City	OKC
AJ Eisenberg Airport	NA	US	US-WA	Oak Harbor	ODW
Winchester Regional Airport	NA	US	US-VA	Winchester	WGO
Dewitt Field,Old Town Municipal Airport	NA	US	US-ME	Old Town	OLD
L M Clayton Airport	NA	US	US-MT	Wolf Point	OLF
Olympia Regional Airport	NA	US	US-WA	Olympia	OLM
Olive Branch Airport	NA	US	US-MS	Olive Branch	OLV
Komo-Manda Airport	OC	PG	PG-HE	Komo	KOM
Eppley Airfield	NA	US	US-NE	Omaha	OMA
Ontario International Airport	NA	US	US-CA	Ontario	ONT
Kakoro(Koroko) Airstrip	OC	PG	PG-GPK	Kakoro	KOR
Chicago O'Hare International Airport	NA	US	US-IL	Chicago	ORD
Norfolk International Airport	NA	US	US-VA	Norfolk	ORF
Worcester Regional Airport	NA	US	US-MA	Worcester	ORH
Orcas Island Airport	NA	US	US-WA	Eastsound	ESD
Wittman Regional Airport	NA	US	US-WI	Oshkosh	OSH
Southwest Oregon Regional Airport	NA	US	US-OR	North Bend	OTH
Ottumwa Regional Airport	NA	US	US-IA	Ottumwa	OTM
Owensboro Daviess County Airport	NA	US	US-KY	Owensboro	OWB
Norwood Memorial Airport	NA	US	US-MA	Norwood	OWD
Olga Bay Seaplane Base	NA	US	US-AK	Olga Bay	KOY
Bisbee Municipal Airport	NA	US	US-AZ	Bisbee	BSQ
Polacca Airport	NA	US	US-AZ	Polacca	PXL
San Carlos Apache Airport	NA	US	US-AZ	Globe	GLB
Holbrook Municipal Airport	NA	US	US-AZ	Holbrook	HBK
Cochise County Airport	NA	US	US-AZ	Willcox	CWX
Snohomish County (Paine Field) Airport	NA	US	US-WA	Everett	PAE
Barkley Regional Airport	NA	US	US-KY	Paducah	PAH
Tyndall Air Force Base	NA	US	US-FL	Panama City	PAM
Palo Alto Airport of Santa Clara County	NA	US	US-CA	Palo Alto	PAO
Point Baker Seaplane Base	NA	US	US-AK	Point Baker	KPB
Grider Field	NA	US	US-AR	Pine Bluff	PBF
Plattsburgh International Airport	NA	US	US-NY	Plattsburgh	PBG
Palm Beach International Airport	NA	US	US-FL	West Palm Beach	PBI
DeKalb Peachtree Airport	NA	US	US-GA	Atlanta	PDK
Eastern Oregon Regional At Pendleton Airport	NA	US	US-OR	Pendleton	PDT
Portland International Airport	NA	US	US-OR	Portland	PDX
Panama City-Bay Co International Airport	NA	US	US-FL	Panama City	PFN
Page Municipal Airport	NA	US	US-AZ	Page	PGA
Pitt Greenville Airport	NA	US	US-NC	Greenville	PGV
Newport News Williamsburg International Airport	NA	US	US-VA	Newport News	PHF
Robert F Swinnie Airport	NA	US	US-SC	Andrews	ADR
Philadelphia International Airport	NA	US	US-PA	Philadelphia	PHL
Henry County Airport	NA	US	US-TN	Paris	PHT
Phoenix Sky Harbor International Airport	NA	US	US-AZ	Phoenix	PHX
General Wayne A. Downing Peoria International Airport	NA	US	US-IL	Peoria	PIA
Hattiesburg Laurel Regional Airport	NA	US	US-MS	Hattiesburg/Laurel	PIB
St Petersburg Clearwater International Airport	NA	US	US-FL	St Petersburg-Clearwater	PIE
Pocatello Regional Airport	NA	US	US-ID	Pocatello	PIH
Pierre Regional Airport	NA	US	US-SD	Pierre	PIR
Pittsburgh International Airport	NA	US	US-PA	Pittsburgh	PIT
Mid Ohio Valley Regional Airport	NA	US	US-WV	Parkersburg	PKB
Clinton County Airport	NA	US	US-NY	Plattsburgh	PLB
Pellston Regional Airport of Emmet County Airport	NA	US	US-MI	Pellston	PLN
Palmdale Regional/USAF Plant 42 Airport	NA	US	US-CA	Palmdale	PMD
Pensacola Regional Airport	NA	US	US-FL	Pensacola	PNS
Dutchess County Airport	NA	US	US-NY	Poughkeepsie	POU
Northern Maine Regional Airport at Presque Isle	NA	US	US-ME	Presque Isle	PQI
Port Williams Seaplane Base	NA	US	US-AK	Port Williams	KPR
Ernest A. Love Field	NA	US	US-AZ	Prescott	PRC
Tri Cities Airport	NA	US	US-WA	Pasco	PSC
Portsmouth International at Pease Airport	NA	US	US-NH	Portsmouth	PSM
Stevens Field	NA	US	US-CO	Pagosa Springs	PGO
Palm Springs International Airport	NA	US	US-CA	Palm Springs	PSP
Pueblo Memorial Airport	NA	US	US-CO	Pueblo	PUB
Pullman Moscow Regional Airport	NA	US	US-WA	Pullman/Moscow,Id	PUW
Provincetown Municipal Airport	NA	US	US-MA	Provincetown	PVC
Theodore Francis Green State Airport	NA	US	US-RI	Providence	PVD
Casement Airport	NA	US	US-OH	Plainesville	PVZ
Portland International Jetport Airport	NA	US	US-ME	Portland	PWM
Bremerton National Airport	NA	US	US-WA	Bremerton	PWT
Port Bailey Seaplane Base	NA	US	US-AK	Port Bailey	KPY
Kol Airport	OC	PG	PG-JI	Kol	KQL
Riverside Municipal Airport	NA	US	US-CA	Riverside	RAL
Rapid City Regional Airport	NA	US	US-SD	Rapid City	RAP
Dallas Executive Airport	NA	US	US-TX	Dallas	RBD
Roseburg Regional Airport	NA	US	US-OR	Roseburg	RBG
Lowcountry Regional Airport	NA	US	US-SC	Walterboro	RBW
Fulton County Airport	NA	US	US-IN	Rochester	RCR
Nartron Field	NA	US	US-MI	Reed City	RCT
Redding Municipal Airport	NA	US	US-CA	Redding	RDD
Reading Regional Carl A Spaatz Field	NA	US	US-PA	Reading	RDG
Roberts Field	NA	US	US-OR	Redmond	RDM
Grand Forks Air Force Base	NA	US	US-ND	Grand Forks	RDR
Raleigh Durham International Airport	NA	US	US-NC	Raleigh/Durham	RDU
Chicago Rockford International Airport	NA	US	US-IL	Chicago/Rockford	RFD
Rhinelander Oneida County Airport	NA	US	US-WI	Rhinelander	RHI
Richmond International Airport	NA	US	US-VA	Richmond	RIC
Riverton Regional Airport	NA	US	US-WY	Riverton	RIW
Karawari Airstrip	OC	PG	PG-ESW	Amboin	KRJ
Knox County Regional Airport	NA	US	US-ME	Rockland	RKD
Rock Springs Sweetwater County Airport	NA	US	US-WY	Rock Springs	RKS
Reno Tahoe International Airport	NA	US	US-NV	Reno	RNO
Roanoke–Blacksburg Regional Airport	NA	US	US-VA	Roanoke	ROA
Greater Rochester International Airport	NA	US	US-NY	Rochester	ROC
Roswell International Air Center Airport	NA	US	US-NM	Roswell	ROW
Roundup Airport	NA	US	US-MT	Roundup	RPX
Roben Hood Airport	NA	US	US-MI	Big Rapids	WBR
El Reno Regional Airport	NA	US	US-OK	El Reno	RQO
Rochester International Airport	NA	US	US-MN	Rochester	RST
Southwest Florida International Airport	NA	US	US-FL	Fort Myers	RSW
Kerau Airport	OC	PG	PG-CPM	Gunim	KRU
Rutland - Southern Vermont Regional Airport	NA	US	US-VT	Rutland	RUT
Rocky Mount Wilson Regional Airport	NA	US	US-NC	Rocky Mount	RWI
Rexburg Madison County Airport	NA	US	US-ID	Rexburg	RXE
Halifax County Airport	NA	US	US-NC	Roanoke Rapids	RZZ
Ashland Municipal Sumner Parker Field	NA	US	US-OR	Ashland	AHM
Bandon State Airport	NA	US	US-OR	Bandon	BDY
Sunriver Airport	NA	US	US-OR	Sunriver	SUO
Madras Municipal Airport	NA	US	US-OR	Madras	MDJ
Idaho County Airport	NA	US	US-ID	Grangeville	IDH
Vista Field	NA	US	US-WA	Kennewick	VSK
Sacramento Executive Airport	NA	US	US-CA	Sacramento	SAC
Safford Regional Airport	NA	US	US-AZ	Safford	SAD
Santa Fe Municipal Airport	NA	US	US-NM	Santa Fe	SAF
San Diego International Airport	NA	US	US-CA	San Diego	SAN
Sparta Community Hunter Field	NA	US	US-IL	Sparta	SAR
San Antonio International Airport	NA	US	US-TX	San Antonio	SAT
Savannah Hilton Head International Airport	NA	US	US-GA	Savannah	SAV
Sawyer International Airport	NA	US	US-MI	Marquette	MQT
Santa Barbara Municipal Airport	NA	US	US-CA	Santa Barbara	SBA
San Bernardino International Airport	NA	US	US-CA	San Bernardino	SBD
Sheboygan County Memorial Airport	NA	US	US-WI	Sheboygan	SBM
South Bend Regional Airport	NA	US	US-IN	South Bend	SBN
San Luis County Regional Airport	NA	US	US-CA	San Luis Obispo	SBP
Steamboat Springs Bob Adams Field	NA	US	US-CO	Steamboat Springs	SBS
Shelby Airport	NA	US	US-MT	Shelby	SBX
Salisbury Ocean City Wicomico Regional Airport	NA	US	US-MD	Salisbury	SBY
Louisville International Standiford Field	NA	US	US-KY	Louisville	SDF
Sidney Richland Municipal Airport	NA	US	US-MT	Sidney	SDY
Seattle Tacoma International Airport	NA	US	US-WA	Seattle	SEA
Orlando Sanford International Airport	NA	US	US-FL	Orlando	SFB
San Francisco International Airport	NA	US	US-CA	San Francisco	SFO
North Central State Airport	NA	US	US-RI	Pawtucket	SFZ
Springfield Branson National Airport	NA	US	US-MO	Springfield	SGF
St George Municipal Airport	NA	US	US-UT	St George	SGU
Shenandoah Valley Regional Airport	NA	US	US-VA	Staunton/Waynesboro/Harrisonburg	SHD
Sheridan County Airport	NA	US	US-WY	Sheridan	SHR
Shreveport Regional Airport	NA	US	US-LA	Shreveport	SHV
Norman Y. Mineta San Jose International Airport	NA	US	US-CA	San Jose	SJC
St Johns Industrial Air Park	NA	US	US-AZ	St Johns	SJN
San Angelo Regional Mathis Field	NA	US	US-TX	San Angelo	SJT
Fairchild Air Force Base	NA	US	US-WA	Spokane	SKA
Lackland Air Force Base	NA	US	US-TX	San Antonio	SKF
Taos Regional Airport	NA	US	US-NM	Taos	TSM
Griffing Sandusky Airport	NA	US	US-OH	Sandusky	SKY
Storm Lake Municipal Airport	NA	US	US-IA	Storm Lake	SLB
Salt Lake City International Airport	NA	US	US-UT	Salt Lake City	SLC
Salem Municipal Airport/McNary Field	NA	US	US-OR	Salem	SLE
Smith Field	NA	US	US-AR	Siloam Springs	SLG
Adirondack Regional Airport	NA	US	US-NY	Saranac Lake	SLK
Salina Municipal Airport	NA	US	US-KS	Salina	SLN
Sacramento International Airport	NA	US	US-CA	Sacramento	SMF
Santa Maria Pub/Capt G Allan Hancock Field	NA	US	US-CA	Santa Maria	SMX
John Wayne Airport-Orange County Airport	NA	US	US-CA	Santa Ana	SNA
Show Low Regional Airport	NA	US	US-AZ	Show Low	SOW
Abraham Lincoln Capital Airport	NA	US	US-IL	Springfield	SPI
Sheppard Air Force Base-Wichita Falls Municipal Airport	NA	US	US-TX	Wichita Falls	SPS
Sarasota Bradenton International Airport	NA	US	US-FL	Sarasota/Bradenton	SRQ
St Cloud Regional Airport	NA	US	US-MN	St Cloud	STC
Lambert St Louis International Airport	NA	US	US-MO	St Louis	STL
St Paul Downtown Holman Field	NA	US	US-MN	St Paul	STP
Charles M. Schulz Sonoma County Airport	NA	US	US-CA	Santa Rosa	STS
Friedman Memorial Airport	NA	US	US-ID	Hailey	SUN
Sioux Gateway Col. Bud Day Field	NA	US	US-IA	Sioux City	SUX
Grant County Airport	NA	US	US-NM	Silver City	SVC
Stewart International Airport	NA	US	US-NY	Newburgh	SWF
Syracuse Hancock International Airport	NA	US	US-NY	Syracuse	SYR
Tuba City Airport	NA	US	US-AZ	Tuba City	TBC
Perry Stokes Airport	NA	US	US-CO	Trinidad	TAD
Thorne Bay Seaplane Base	NA	US	US-AK	Thorne Bay	KTB
Waynesville-St. Robert Regional Forney field	NA	US	US-MO	Fort Leonard Wood	TBN
Statesboro Bulloch County Airport	NA	US	US-GA	Statesboro	TBR
Tucumcari Municipal Airport	NA	US	US-NM	Tucumcari	TCC
Tuscaloosa Regional Airport	NA	US	US-AL	Tuscaloosa	TCL
McChord Air Force Base	NA	US	US-WA	Tacoma	TCM
Truth Or Consequences Municipal Airport	NA	US	US-NM	Truth Or Consequences	TCS
Ed Carlson Memorial Field South Lewis County Airport	NA	US	US-WA	Toledo	TDO
Tradewind Airport	NA	US	US-TX	Amarillo	TDW
Toledo Executive Airport	NA	US	US-OH	Toledo	TDZ
Teterboro Airport	NA	US	US-NJ	Teterboro	TEB
Telluride Regional Airport	NA	US	US-CO	Telluride	TEX
Tullahoma Regional Arpt/Wm Northern Field	NA	US	US-TN	Tullahoma	THA
Kennett Memorial Airport	NA	US	US-MO	Kennett	KNT
Tallahassee Regional Airport	NA	US	US-FL	Tallahassee	TLH
Henry Tift Myers Airport	NA	US	US-GA	Tifton	TMA
Kendall-Tamiami Executive Airport	NA	US	US-FL	Miami	TMB
Tillamook Airport	NA	US	US-OR	Tillamook	OTK
Tonopah Test Range Airport	NA	US	US-NV	Tonopah	XSD
Toledo Express Airport	NA	US	US-OH	Toledo	TOL
Tampa International Airport	NA	US	US-FL	Tampa	TPA
Draughon Miller Central Texas Regional Airport	NA	US	US-TX	Temple	TPL
Tri Cities Regional Tn Va Airport	NA	US	US-TN	Bristol/Johnson/Kingsport	TRI
Truckee Tahoe Airport	NA	US	US-CA	Truckee	TKF
Trenton Mercer Airport	NA	US	US-NJ	Trenton	TTN
Tulsa International Airport	NA	US	US-OK	Tulsa	TUL
Tupelo Regional Airport	NA	US	US-MS	Tupelo	TUP
Tucson International Airport	NA	US	US-AZ	Tucson	TUS
Cherry Capital Airport	NA	US	US-MI	Traverse City	TVC
Thief River Falls Regional Airport	NA	US	US-MN	Thief River Falls	TVF
Lake Tahoe Airport	NA	US	US-CA	South Lake Tahoe	TVL
Joslin Field Magic Valley Regional Airport	NA	US	US-ID	Twin Falls	TWF
Texarkana Regional Webb Field	NA	US	US-AR	Texarkana	TXK
Taylor Airport	NA	US	US-AZ	Taylor	TYZ
Tyler Pounds Regional Airport	NA	US	US-TX	Tyler	TYR
McGhee Tyson Airport	NA	US	US-TN	Knoxville	TYS
Bullfrog Basin Airport	NA	US	US-UT	Glen Canyon Natl Rec Area	BFG
Green River Municipal Airport	NA	US	US-UT	Green River	RVR
Cascade Airport	NA	US	US-ID	Cascade	ICS
Columbus Lowndes County Airport	NA	US	US-MS	Columbus	UBS
Oneida County Airport	NA	US	US-NY	Utica	UCA
Quincy Regional Baldwin Field	NA	US	US-IL	Quincy	UIN
Wilkes County Airport	NA	US	US-NC	North Wilkesboro	IKB
Ohio University Snyder Field	NA	US	US-OH	Athens/Albany	ATO
University Park Airport	NA	US	US-PA	State College	SCE
Huntsville Regional Airport	NA	US	US-TX	Huntsville	HTV
Newport State Airport	NA	US	US-RI	Newport	NPT
Garner Field	NA	US	US-TX	Uvalde	UVA
Moody Air Force Base	NA	US	US-GA	Valdosta	VAD
South Jersey Regional Airport	NA	US	US-NJ	Mount Holly	LLY
Vandenberg Air Force Base	NA	US	US-CA	Lompoc	VBG
